Census Tract,Population,Housing Units in Tract,"LI, LA - 1 mile radius","LI, LA - 0.5 mile radius",Low Income Tracts,Poverty Rate (%),Median Family Income,LA - 1 mile radius,LA - 0.5 mile radius,"LA,LI - 0.5 mile radius","LA - Kids population, 0.5 mile radius","LA - Senior population, 0.5 mile radius","LA - Kids population, 1 mile radius","LA - Senior population, 1 mile radius","LA - Housing Units w/ Snap Benefits, 0.5 mile radius","LA - Housing Units w/ Snap Benefits, 1 mile radius",Total Count of Housing w/ Snap Benefits,Snap Percentage
42101010900,2313,879,0,1,1,54.89560835,19605.0,0,1,1672.50923,494.5529232,201.2508772,,,315.8829025,,371,42
42101011000,3470,1453,0,1,1,51.55069064,25450.0,0,1,982.2670906,313.7020839,114.9111708,,,205.9761604,,669,46
42101011100,3712,1399,0,0,1,39.14067098,45099.0,0,0,0.0,0.0,0.0,,,0.0,,558,39
42101011200,5494,2076,0,0,1,43.41327772,37557.0,0,0,,,,,,,,622,29
42101011300,2917,1184,0,0,1,31.34279116,36948.0,0,0,,,,,,,,345,29
42101011400,6126,2564,0,1,1,15.6240176,53769.0,0,1,960.5431495,612.508995,293.0010051,,,288.6747088,,704,27
42101011500,4282,1580,0,1,1,16.80398959,54933.0,0,1,1709.079926,1223.000011,267.0000026,,,304.0647511,,321,20
42101011700,1931,378,0,1,1,35.67251462,79286.0,0,1,794.2319794,142.9999997,212.9999954,8.851812981,11.82711318,56.99076798,2.136910467,49,12
42101011800,5621,2186,0,1,1,28.63414634,44981.0,0,1,1527.095011,759.643806,728.0246592,,,213.8289543,,330,15
42101011900,5195,2168,0,1,1,34.81944725,39338.0,0,1,1472.081392,673.5387704,508.0558046,,,385.7950151,,588,27
42101012000,1947,702,0,1,1,16.10921502,69306.0,0,1,446.7230075,163.9914782,215.5836855,,,47.71846064,,56,7
42101012100,2547,1190,0,1,1,24.42581116,49177.0,0,1,455.1458732,134.920388,311.0287514,,,116.3208404,,334,28
42101012201,2911,2053,0,0,1,30.62706271,34029.0,0,0,101.6929254,17.2728975,30.5131693,,,34.63797958,,508,24
42101012203,1120,672,0,0,1,40.09779951,,0,0,,,,,,,,24,3
42101012204,3564,1774,0,1,1,20.77151335,68438.0,0,1,316.5453711,186.8336581,247.2618011,,,92.51929927,,292,16
42101012500,5210,3302,0,0,0,12.64022436,145781.0,0,0,,,,,,,,164,4
42101013100,1529,682,0,0,1,35.44705136,48942.0,0,0,,,,,,,,218,31
42101013200,2914,963,0,0,1,31.25,33199.0,0,0,,,,,,,,424,44
42101013300,2854,1427,0,0,1,33.14836449,114464.0,0,0,,,,,,,,222,15
42101013401,2288,1419,0,0,0,7.464553795,146719.0,0,0,,,,,,,,0,0
42101013402,2922,1641,0,0,0,3.257650543,155221.0,0,0,,,,,,,,36,2
42101013500,3222,1401,0,0,0,10.68499759,97404.0,0,0,10.7556417,16.15134096,7.701189518,,,6.36819005,,182,12
42101013601,2677,1480,0,0,0,3.570086434,164167.0,0,0,,,,,,,,0,0
42101013602,3503,1798,0,0,0,5.983564458,115132.0,0,1,145.6222376,93.76147366,66.9656136,,,24.19283086,,114,6
42101013700,4813,1993,0,0,1,29.92439316,60369.0,0,0,,,,,,,,620,31
